STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,WESD,WESF
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/17/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/18/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/19/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/20/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/21/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/22/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/23/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/24/2018,,,0.03,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/25/2018,,,0.03,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/26/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/27/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/28/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/29/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",4/30/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/1/2018,,,0.11,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/2/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/3/2018,,,0.01,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/4/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/5/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/6/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/7/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/8/2018,,,0.21,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",5/8/2018,,,0.25,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/9/2018,,,0.25,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/10/2018,,,0.01,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/11/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/12/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/13/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/14/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/15/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/16/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/17/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/18/2018,,,0.58,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/19/2018,,,0.01,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/20/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/21/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/22/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/23/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/24/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/25/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/26/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/27/2018,,,0.02,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/28/2018,,,0.17,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",5/28/2018,,,0.16,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/29/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/30/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/31/2018,,,0.02,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",5/31/2018,,,0.15,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/1/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/2/2018,,,0.47,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/2/2018,,,0.45,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/3/2018,,,0.15,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/4/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/5/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/6/2018,,,1.01,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/6/2018,,,1.32,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/7/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/8/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/9/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/10/2018,,,0.17,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/11/2018,,,0.3,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/11/2018,,,0.56,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/12/2018,,,0.3,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/13/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/14/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/15/2018,,,0.44,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/15/2018,,,0.48,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/16/2018,,,0.01,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/17/2018,,,1.3,0,0,0,0
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/17/2018,,,1.28,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/18/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/19/2018,,,0,0,0,0,0
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/20/2018,,,0,0,0,0,0
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/21/2018,,,0,0,0,0,0
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/22/2018,,,0,0,0,0,0
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/23/2018,,,0,0,0,0,0
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/24/2018,,,0.02,0,0,0,0
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/25/2018,,,0.01,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/25/2018,,,0.04,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/26/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/27/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/28/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/29/2018,,,0.7,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/29/2018,,,0.51,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/30/2018,,,0,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/30/2018,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/1/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/2/2018,,,0.07,0,0,0,0
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/3/2018,,,0.77,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",7/3/2018,,,1,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/4/2018,,,0.96,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",7/4/2018,,,0.69,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/5/2018,,,0.01,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/6/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/7/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/8/2018,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/9/2018,,,0.08,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",7/9/2018,,,0.45,,,,
