Day,TempMax,TempAvg,TempMin,DewMax,DewAvg,DewMin,HumidMax,HumidAvg,HumidMin,WindMax,WindAvg,WindMin,PressMax,PressAvg,Precip
1,43,33,21,34,26.2,17,89,76.6,65,18,11.8,0,28.9,28.9,0
2,39,33.9,28,32,25.7,23,92,73,55,16,10.3,3,29.1,29,0.01
3,39,31.9,24,27,24.1,20,89,73.8,57,10,5.7,0,29.1,29,0
4,45,36.5,24,35,29.1,21,92,75.3,60,20,10.6,0,29,28.9,0
5,43,38.3,33,39,34.8,28,96,87.3,65,24,14.8,9,28.6,28.4,0.19
6,37,33.7,32,33,30.9,30,96,89.8,85,37,28.9,15,28.7,28.6,0.29
7,37,32.7,30,30,27.9,25,92,82.6,70,36,28.7,21,29.1,28.9,0.24
8,45,35.4,29,29,25.6,22,85,68.5,53,25,15.2,0,29.2,29.1,0
9,50,39.5,25,34,28.5,22,92,66.7,47,21,11.3,0,29,28.8,0
10,43,38.6,34,38,35.1,30,96,87.8,60,21,11.6,3,28.7,28.6,0
11,50,38.8,32,37,30.5,23,92,74.8,36,22,10.4,3,28.9,28.8,0.57
12,40,36.5,34,35,32.4,26,96,85.7,73,24,18.6,7,28.9,28.7,0.02
13,38,35,30,37,30.1,20,97,83.5,59,26,15.2,3,28.6,28.5,0.42
14,30,25.5,17,25,20.1,11,92,80.5,66,31,18.1,0,28.8,28.5,0.08
15,24,19,14,17,10.8,6,81,70.5,60,23,18.7,9,29.2,28.9,0.03
16,32,24.4,16,15,13.1,11,81,63.3,45,16,10.6,0,29.3,29.3,0
17,34,29.3,22,29,24.5,15,89,82.4,61,25,15.2,0,29.3,29.1,0
18,33,26.7,21,29,20.5,16,93,78.2,54,33,22.7,0,29.4,29.2,0.22
19,38,30.6,18,26,20.8,15,92,68.5,55,24,13.8,0,29.4,29.1,0
20,51,39.1,32,40,32.5,22,92,78.3,53,25,12.7,0,28.9,28.8,0
21,43,38.6,35,31,29,27,82,68.8,53,20,10.6,0,29.3,29.2,0.19
22,45,42.8,38,43,39.1,30,97,87.1,65,23,13.8,5,29.3,28.9,0
23,73,53.4,42,61,47.3,32,97,82,51,30,19.7,12,28.7,28.4,1.02
24,42,34.5,30,34,30.8,23,96,86.7,65,35,20.3,6,29,28.6,0.16
