STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-01,7.61,0,0,3.9,-13,-5,-19,,210,210,16.1,21,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-02,17.45,0.02,0.2,3.9,-3,17,-11,,360,350,31.1,38,1,,,,,,,1,1,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-03,8.95,0,0,3.9,-2,0,-9,,350,340,19.9,25.1,1,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-04,5.14,0.04,1.6,5.1,-1,4,-13,,30,130,8.1,10.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-05,2.46,0,0,5.1,-9,2,-23,,150,150,12.1,16.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-06,21.47,0,0,5.1,0,17,-5,,160,170,32,45,,,,,,,,1,1,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-07,12.53,0,0,3.9,21,35,14,,320,320,25.9,34,1,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-08,7.16,0,0,3.9,27,33,21,,250,250,16.1,23,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-09,12.53,0,0,3.9,30,37,25,,160,170,21,29.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-10,20.58,0.02,0.3,3.1,32,36,2,,340,350,36,44.1,1,1,,,,,,1,1,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-11,23.04,0.04,0.5,3.9,1,2,-13,,350,360,38.9,51,1,1,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-12,5.82,0,0,3.9,-11,-2,-19,,300,280,13,16.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-13,6.49,0,0,3.9,-11,1,-18,,160,160,16.1,23,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-14,21.03,0.09,1,3.9,5,17,-3,,340,340,36,46.1,1,1,,,,,,,1,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-15,23.49,0,0,5.1,-6,-3,-11,,350,350,35.1,42.9,1,1,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-16,11.41,0,0,3.9,-8,6,-16,,190,180,19.9,25.1,,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-17,16.11,0,0,3.9,11,32,4,,240,230,21,29.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-18,10.51,0,0,3.9,29,34,21,,240,240,19.9,25.9,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-19,8.5,0,0,3.9,32,41,26,,170,170,16.1,21.9,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-20,6.71,0,0,2,31,38,22,,240,230,12.1,14.1,1,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-21,8.28,0,0,2,25,29,17,,30,20,16.1,21.9,1,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-22,14.32,0,0,2,26,28,24,,20,30,21.9,29.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-23,5.82,0,0,2,22,25,20,,330,320,18.1,21.9,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-24,8.95,0,0,2,24,26,19,,190,170,17,21.9,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-25,16.55,0,0,2,24,30,20,,150,160,30,40.9,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-26,15.21,0,0,2,30,33,21,,290,280,28,34,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-27,14.32,0,0,2,20,21,2,,300,300,21.9,25.9,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-28,12.08,0,0,2,3,4,-2,,350,360,19.9,25.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-29,2.46,0,0,2,0,10,-7,,130,130,8.1,10.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-30,19.69,0,0,2,13,33,2,,160,170,36.9,53,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-31,14.76,0,0,2,19,25,-1,,330,320,31.1,40,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-01,10.29,0,0,2,-1,3,-7,,340,320,18.1,23.9,1,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-02,7.83,0,0.1,2,1,17,-8,,150,150,15,19,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-03,18.12,0.15,2.2,3.9,11,15,-11,,360,360,30,36.9,1,,,,,,,1,1,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-04,12.3,0,0,3.9,-7,4,-16,,260,270,21.9,28,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-05,10.51,0,0,3.9,0,6,-8,,330,330,19.9,23,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-06,7.83,0.02,0.4,3.9,-4,10,-13,,190,190,18.1,21,1,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-07,7.16,0,0,3.9,1,6,-12,,320,320,19.9,23.9,1,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-08,4.92,0,0,3.9,-4,2,-14,,290,290,8.9,12.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-09,7.61,0,0,3.9,-3,5,-15,,240,240,15,19,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-10,11.18,0,0,3.9,-2,10,-11,,220,210,18.1,23.9,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-11,11.41,0,0,3.9,6,14,-6,,330,330,18.1,23,1,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-12,4.7,0,0,3.9,-5,8,-18,,160,170,15,21.9,1,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-13,17.45,0.02,0.2,3.9,12,27,8,,210,150,25.1,31.1,1,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-14,11.86,0,0,3.9,24,39,16,,190,180,19.9,25.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-15,21.25,0,0,3.9,20,33,-1,,340,340,35.1,42.1,1,,,,,,,1,1,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-16,15.66,0,0,3.9,7,27,-4,,190,180,28,35.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-17,11.18,0,0,3.9,22,24,10,,300,310,25.1,30,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-18,16.11,0.03,0.4,3.1,16,21,9,,360,360,28,38,1,,,,,,,1,1,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-19,20.58,0.02,0.4,3.1,9,10,4,,10,360,25.9,35.1,1,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-20,15.66,0.09,2.3,5.1,7,12,1,,340,360,25.1,30,1,,,,,,,1,1,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-21,10.74,0,0,5.1,3,13,-5,,180,180,17,21,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-22,11.18,0.1,1.1,5.1,10,24,0,,170,170,21,29.1,1,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-23,9.17,0.11,1.3,7.1,19,22,2,,300,310,16.1,19,1,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-24,9.17,0.29,3.7,7.1,6,19,-5,,170,170,19.9,25.9,1,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-25,12.3,0,0,9.8,19,29,8,,260,250,21,25.9,1,,,,,,,1,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-26,12.08,0,0,9.8,21,33,10,,190,190,23.9,28,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-27,4.47,0,0,9.1,21,28,6,,340,350,14.1,16.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-28,5.82,0,0,9.1,17,31,2,,200,200,12.1,13,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-01,3.13,0,0,9.1,17,32,1,,240,240,8.1,8.9,1,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-02,8.28,0,0,9.1,20,36,8,,90,90,16.1,23,1,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-03,14.99,0,0,7.9,35,42,32,,110,110,21,30,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-04,17.67,0.03,0,7.1,38,40,36,,110,120,25.9,36.9,,,1,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-05,19.01,0.87,6.3,9.8,35,37,28,,110,140,28,36.9,1,1,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-06,13.42,0,0,11,26,28,3,,340,340,21.9,27.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-07,6.49,0,0,11,10,21,-2,,340,340,13,18.1,,,,,,,,,,
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-08,4.92,0,0,11,14,24,1,,190,260,8.9,12.1,1,,,,,,,,,
