Date,Price,Open,High,Low,Volume,Change
19-Nov,73.92,64,74.9,59.58,33.96M,16.12%
19-Dec,74.68,73.94,75.97,72.03,17.08M,1.03%
20-Jan,80.79,74.83,81.55,74.19,17.19M,8.18%
20-Feb,67.49,81,88.77,65.88,27.83M,-16.46%
20-Mar,48.7,67.84,71.35,23.77,88.99M,-27.84%
20-Apr,60.33,45.77,66.28,36.41,60.02M,23.88%
20-May,64.63,58.38,66.88,45.87,54.10M,7.13%
20-Jun,60.57,64.85,80.6,57.74,52.18M,-6.28%
20-Jul,52.2,61.73,64.61,51.7,40.59M,-13.82%
20-Aug,60.79,52.05,63.98,49.42,39.72M,16.46%
20-Sep,61.62,60.27,63.98,53.55,33.53M,1.37%
20-Oct,59.27,62.73,68.86,57.91,29.53M,-3.81%
20-Nov,72.95,60.04,86.5,58.78,42.99M,23.08%
20-Dec,77.63,73.5,79.6,72.56,21.83M,6.42%
21-Jan,72,76.9,84.33,71.25,27.76M,-7.25%
21-Feb,86.09,72.7,90.34,71.68,31.69M,19.57%
21-Mar,77.3,87.92,89.98,71.35,29.65M,-10.21%
21-Apr,83.99,78.03,89.18,77.47,21.17M,8.65%
21-May,78.77,84.54,84.79,72.91,20.69M,-6.22%
21-Jun,75.25,78.35,79.55,71.84,18.97M,-4.47%
21-Jul,75.23,75.84,77.61,68.17,22.12M,-0.03%
21-Aug,81.3,75.8,82.77,67.89,27.07M,8.07%
21-Sep,78.55,81.6,82.43,75.94,14.94M,-3.38%
21-Oct,79.55,80.08,84.27,76.91,13.35M,1.27%
