Date,Price,Open,High,Low,Volume,Change
19-Nov,35.23,23.87,35.75,22.25,93.00M,47.59%
19-Dec,28.4,35.3,37.02,25.67,131.13M,-19.39%
20-Jan,32.36,28.9,33.7,26.89,101.26M,13.94%
20-Feb,26.69,32.87,34.6,24.52,142.59M,-17.52%
20-Mar,26.55,27.2,29.32,17.7,163.66M,-0.52%
20-Apr,31.5,26.44,38.08,25.85,170.38M,18.64%
20-May,42.19,31.03,49.68,30.7,288.85M,33.94%
20-Jun,57.77,42.1,60,41.26,211.78M,36.93%
20-Jul,68.22,57.54,69.73,56.92,149.65M,18.09%
20-Aug,76.67,69.6,77.8,62.5,135.18M,12.39%
20-Sep,99.24,78.39,102.83,72.11,822.94M,29.44%
20-Oct,110.21,99.83,139.75,99.31,423.38M,11.05%
20-Nov,116.35,112.36,132.79,92.03,325.42M,5.57%
20-Dec,151.72,113.73,167.37,108.18,268.42M,30.40%
21-Jan,146.13,152.51,171.09,139.02,123.15M,-3.68%
21-Feb,120.47,147.7,157.83,111.94,158.82M,-17.56%
21-Mar,112.44,122.48,126.74,94,197.62M,-6.67%
21-Apr,98.35,114.99,124.8,96.54,190.25M,-12.53%
21-May,110.31,98.26,114,80.48,492.12M,12.16%
21-Jun,124.02,110.9,127.98,101.52,178.09M,12.43%
21-Jul,118.05,125,129.7,108.1,124.69M,-4.81%
21-Aug,100.19,117.9,122.99,99.1,148.32M,-15.13%
21-Sep,87.05,99.91,118.61,84.67,178.86M,-13.12%
21-Oct,91.44,86.19,99.36,81.04,119.74M,5.04%
