Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,90sGls,90sAst,90sG+A,90sG-PK,90sG+A-PK,90sxG,90sxAG,90sxG+xAG,90snpxG,90snpxG+xAG,Sh,SoT,SoTPercent,Sh90,SoT90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,xAG,xA,A-xAG,KP,Passes3rd,PPA,CrsPA,PrgP,SCA,SCA90,PassLive,PassDead,TO,SCASh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,GCASh,Fld,Def,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,LiveTouches,Att,Succ,SuccPercent,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Final3rd,CPA,Mis,Dis,Rec,PrgR
Max Aarons,eng ENG,DF,Norwich City,21,2000,34,32,2881,32,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,78,117,85,0,0.06,0.06,0,0.06,0.03,0.05,0.08,0.03,0.08,13,2,15.4,0.41,0.06,0,0,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,1107,1469,75.4,16588,6133,645,713,90.5,383,511,75,57,160,35.6,1.7,1.7,0.3,20,50,37,9,117,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0,1841,160,721,703,440,23,1841,68,34,50,34,50,953,6454,3377,78,47,12,38,23,1030,85
Che Adams,sct SCO,FW,Southampton,25,1996,30,23,2039,22.7,7,3,10,7,0,0,0,0,7.1,7.1,3,10.1,19,33,153,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45,49,24,49,2.16,1.06,0.14,0.29,13.3,0,0,0,7.1,7.1,0.15,-0.1,-0.1,304,472,64.4,4188,1017,188,256,73.4,73,106,68.9,18,34,52.9,3,1.7,0,26,24,10,0,33,51,2.25,32,0,2,4,11,2,5,0.22,3,0,1,0,0,1,712,22,81,293,344,94,712,35,20,57.1,15,42.9,394,1804,651,19,13,13,59,34,537,153
Rayan Aït Nouri,dz ALG,DFMF,Wolves,20,2001,23,20,1828,20.3,1,2,3,1,0,0,4,0,0.6,0.6,1.6,2.2,60,49,127,0.05,0.1,0.15,0.05,0.15,0.03,0.08,0.11,0.03,0.11,13,4,30.8,0.64,0.2,0.08,0.25,17.6,0,0,0,0.6,0.6,0.04,0.4,0.4,763,1025,74.4,12151,4064,418,472,88.6,273,361,75.6,54,141,38.3,1.6,1.1,0.4,17,28,14,10,49,45,2.22,30,8,4,0,2,1,6,0.3,4,1,0,0,1,0,1293,49,459,458,392,39,1293,81,42,51.9,39,48.1,659,3744,1969,60,38,19,44,27,736,127
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.8,0.8,1.7,2.5,30,82,29,0.05,0.14,0.18,0.05,0.18,0.04,0.08,0.11,0.04,0.11,7,1,14.3,0.32,0.05,0.14,1,8.8,0,0,0,0.8,0.8,0.11,0.2,0.2,627,892,70.3,10133,4740,303,372,81.5,255,342,74.6,47,105,44.8,1.7,1.8,1.3,8,41,13,2,82,33,1.5,22,6,2,1,1,1,7,0.32,3,1,2,0,1,0,1101,108,442,484,181,31,1101,18,13,72.2,5,27.8,488,2991,1717,30,25,2,25,7,530,29
Nathan Aké,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.2,12,57,8,0.2,0,0.2,0.2,0.2,0.07,0.06,0.12,0.07,0.12,5,2,40,0.49,0.2,0.4,1,7.3,0,0,0,0.7,0.7,0.13,1.3,1.3,796,878,90.7,13200,4534,373,399,93.5,384,416,92.3,29,42,69,0.6,0.5,-0.6,2,63,3,0,57,5,0.49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,956,56,332,525,103,10,956,2,0,0,2,100,677,3333,2158,12,12,0,4,3,741,8
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,17,11,1132,12.6,1,2,3,1,0,0,3,0,0.5,0.5,2,2.5,21,26,56,0.08,0.16,0.24,0.08,0.24,0.04,0.16,0.2,0.04,0.2,4,1,25,0.32,0.08,0.25,1,16.3,0,0,0,0.5,0.5,0.12,0.5,0.5,347,558,62.2,5152,2040,220,258,85.3,86,145,59.3,26,94,27.7,2,1,0,11,23,8,6,26,19,1.51,12,4,0,0,3,0,2,0.16,2,0,0,0,0,0,705,35,166,302,243,12,705,40,15,37.5,25,62.5,357,1616,691,21,14,2,21,8,397,56
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,17,1534,17,1,4,5,1,0,0,2,0,1.9,1.9,2.3,4.2,24,214,45,0.06,0.23,0.29,0.06,0.29,0.11,0.14,0.25,0.11,0.25,25,6,24,1.47,0.35,0.04,0.17,19.3,0,0,0,1.9,1.9,0.08,-0.9,-0.9,1340,1508,88.9,24737,7150,573,624,91.8,594,640,92.8,150,190,78.9,2.3,1.7,1.7,29,211,26,1,214,67,3.93,57,0,1,7,1,1,6,0.35,6,0,0,0,0,0,1700,32,247,1106,362,20,1700,32,20,62.5,12,37.5,1039,5003,2393,24,43,1,16,13,1279,45
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,32,2853,31.7,2,12,14,2,0,0,2,0,2.4,2.4,12,14.4,53,267,201,0.06,0.38,0.44,0.06,0.44,0.07,0.38,0.46,0.07,0.46,51,15,29.4,1.61,0.47,0.04,0.13,24,8,0,0,2.4,2.4,0.05,-0.4,-0.4,2039,2757,74,40112,15683,841,964,87.2,811,1048,77.4,344,636,54.1,12,13,0,90,245,85,25,267,160,5.05,96,53,3,7,1,0,18,0.57,13,4,0,1,0,0,3036,71,602,1386,1070,83,3036,39,19,48.7,20,51.3,1504,5687,2824,53,55,14,41,19,1897,201
Alisson,br BRA,GK,Liverpool,28,1992,36,36,3240,36,0,1,1,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,0,0,,0,0,,,,0,0,0,0,0,,0,0,1214,1388,87.5,28439,18286,275,276,99.6,686,699,98.1,249,409,60.9,0.2,0,0.8,1,16,1,0,1,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,1469,1042,1452,17,0,0,1469,1,1,100,0,0,873,3573,2223,0,0,0,1,0,836,0
Allan,br BRA,MF,Everton,30,1991,28,25,2183,24.3,0,2,2,0,0,0,7,1,0.2,0.2,0.8,1.1,26,130,18,0,0.08,0.08,0,0.08,0.01,0.03,0.04,0.01,0.04,7,3,42.9,0.29,0.12,0,0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,778,982,79.2,12868,4192,356,405,87.9,337,402,83.8,57,102,55.9,0.8,1,1.2,15,103,20,3,130,38,1.57,35,0,1,0,1,1,7,0.29,5,0,1,0,1,0,1259,77,324,763,191,7,1259,31,21,67.7,10,32.3,650,3118,1603,26,24,4,38,24,672,18
