Year,Date,Annual Vehicle-Distance Traveled (Billion Miles)
2019,Nov-19,"3,260"
2019,Dec-19,"3,262"
2020,Jan-20,"3,267"
2020,Feb-20,"3,272"
2020,Mar-20,"3,220"
2020,Apr-20,"3,109"
2020,May-20,"3,035"
2020,Jun-20,"2,998"
2020,Jul-20,"2,965"
2020,Aug-20,"2,931"
2020,Sep-20,"2,909"
2020,Oct-20,"2,885"
2020,Nov-20,"2,857"
2020,Dec-20,"2,829"
2021,Jan-21,"2,800"
2021,Feb-21,"2,772"
2021,Mar-21,"2,814"
2021,Apr-21,"2,905"
2021,May-21,"2,967"
2021,Jun-21,"3,002"
2021,Jul-21,"3,032"
2021,Aug-21,"3,053"
2021,Sep-21,"3,073"
2021,Oct-21,"3,098"
