Month,Active,Peak Viewers,Peak Channels,Avg. Conc.,Avg. Conc.,Hours Streamed,Games Streamed
11/19/2021,2539622,2905536,76062,1222701,45651,873619816,9820
12/19/2021,2659408,2647020,90896,1185297,45649,881070084,9815
1/20/2021,3219159,2420086,87331,1357265,52817,1009352334,10260
2/20/2021,3575855,2658896,84167,1408076,53722,973449290,10399
3/20/2021,3468412,3383348,132223,1633670,65928,1208370968,11345
4/20/2021,3544612,4468540,164010,2490968,93822,1789760468,12235
5/20/2021,3839596,4042550,157906,2357305,100296,1747548100,12909
6/20/2021,3821162,6060464,203122,2262788,93953,1627698464,12668
7/20/2021,3923633,3991727,141196,2095123,93656,1556676252,15015
8/20/2021,4054360,3854310,144630,2178019,96284,1615363548,13176
9/20/2021,3796128,4815916,144119,2203460,91917,1584654916,14325
10/20/2021,3782701,4224031,159649,2384649,95080,1773383828,14808
11/20/2021,4188700,4390261,185063,2486844,103918,1790112912,15163
12/20/2021,4437284,4840522,234924,2522643,106891,1872221076,15196
1/21/2021,4567384,6577002,199807,2918417,119239,2162546512,15694
2/21/2021,4213517,5300171,200993,2943446,122693,1971127076,15700
3/21/2021,4272152,5264032,199020,2928369,116926,2172361608,16218
4/21/2021,3989907,6248256,201703,3099202,115703,2222643776,16568
5/21/2021,3272608,5835026,184034,3100114,110230,2299250460,16739
6/21/2021,3332119,5793507,155527,2724583,101753,1948530600,16846
7/21/2021,3916685,4414159,146244,2626124,101645,1953835920,17075
8/21/2021,4050691,4750351,190473,2654084,100539,1967560692,17081
9/21/2021,3898208,5564583,207902,2573103,95371,1837623884,17393
10/21/2021,3790159,6176221,141058,2707758,91686,1986591792,17850
